Diameter,Height,HDR
2,17,85
1,17,170
3,25,83.33333333
2,17,85
3,21,70
2,18,90
3,19,63.33333333
2,23,115
4,49,122.5
3,22,73.33333333
3,20,66.66666667
4,43,107.5
3,27,90
2,16,80
3,19,63.33333333
3,20,66.66666667
2,17,85
1,17,170
,,#DIV/0!
3,36,120
3,29,96.66666667
1,18,180
2,19,95
3,35,116.6666667
4,42,105
2,23,115
4,36,90
2,22,110
1,11,110
3,27,90
3,36,120
3,36,120
3,23,76.66666667
2,16,80
5,50,100
6,69,115
5,56,112
5,36,72
4,45,112.5
2,33,165
,,#DIV/0!
,,#DIV/0!
2,15,75
3,8,26.66666667
3,17,56.66666667
4,53,132.5
4,47,117.5
3,35,116.6666667
2,14,70
2,16,80
2,13,65
,,#DIV/0!
,,#DIV/0!
3,12,40
,,#DIV/0!
,,#DIV/0!
2,14,70
3,15,50
13,82,63.07692308
7,55,78.57142857
9,44,48.88888889
10,89,89
12,82,68.33333333
5,34,68
3,35,116.6666667
8,80,100
9,103,114.4444444
17,147,86.47058824
12,75,62.5
16,135,84.375
17,140,82.35294118
21,178,84.76190476
6,64,106.6666667
7,91,130
9,93,103.3333333
3,48,160
9,108,120
13,106,81.53846154
16,155,96.875
3,46,153.3333333
5,52,104
6,88,146.6666667
5,46,92
11,65,59.09090909
12,82,68.33333333
21,156,74.28571429
14,126,90
8,94,117.5
9,89,98.88888889
11,123,111.8181818
7,69,98.57142857
14,138,98.57142857
11,113,102.7272727
8,75,93.75
6,73,121.6666667
6,62,103.3333333
11,98,89.09090909
5,60,120
16,160,100
15,138,92
5,34,68
11,92,83.63636364
4,32,80
7,92,131.4285714
7,77,110
4,82,205
7,58,82.85714286
6,74,123.3333333
11,122,110.9090909
11,127,115.4545455
16,142,88.75
18,160,88.88888889
8,98,122.5
3,48,160
21,165,78.57142857
3,43,143.3333333
6,59,98.33333333
14,142,101.4285714
4,45,112.5
13,106,81.53846154
5,72,144
13,96,73.84615385
5,43,86
2,22,110
3,30,100
2,15,75
2,17,85
2,13,65
2,21,105
2,21,105
3,12,40
2,14,70
4,57,142.5
5,55,110
7,60,85.71428571
5,28,56
1,10,100
2,13,65
3,24,80
3,18,60
1,8,80
3,60,200
4,37,92.5
5,27,54
2,12,60
2,20,100
