"","Diameter","Height","HDR"
"1",3,18,60
"2",4,34,85
"3",14,128,91.42857143
"4",7,111,158.5714286
"5",7,100,142.8571429
"6",6,104,173.3333333
"7",4,71,177.5
"8",4,76,190
"9",2,26,130
"10",4,60,150
"11",4,58,145
"12",8,75,93.75
"13",2,30,150
"14",7,81,115.7142857
"15",4,42,105
"16",9,76,84.44444444
"17",5,40,80
"18",6,78,130
"19",3,32,106.6666667
"20",6,80,133.3333333
"21",3,56,186.6666667
"22",3,26,86.66666667
"23",1,10,100
"24",2,15,75
"25",4,35,87.5
"26",3,27,90
"27",1,9,90
"28",3,28,93.33333333
"29",1,16,160
"30",2,29,145
"31",3,29,96.66666667
"32",2,20,100
"33",4,25,62.5
"34",8,85,106.25
"35",7,77,110
"36",3,36,120
"37",4,36,90
"38",4,26,65
"39",4,40,100
"40",4,42,105
"41",4,35,87.5
"42",2,19,95
"43",4,38,95
"44",5,29,58
"45",4,51,127.5
"46",4,39,97.5
"47",8,195,243.75
"48",14,103,73.57142857
"49",3,16,53.33333333
"50",2,12,60
"51",4,33,82.5
"52",9,101,112.2222222
"53",7,82,117.1428571
"54",3,19,63.33333333
"55",1,13,130
"56",1,10,100
"57",1,6,60
"58",1,8,80
"59",9,69,76.66666667
"60",1,7,70
"61",1,11,110
"62",1,9,90
"63",1,10,100
"64",1,11,110
"65",1,11,110
"66",1,11,110
"67",1,11,110
"68",1,9,90
"69",1,10,100
"70",1,9,90
"71",1,10,100
"72",1,9,90
"73",1,11,110
"74",1,10,100
"75",2,10,50
"76",5,69,138
"77",3,21,70
"78",4,33,82.5
"79",3,31,103.3333333
"80",4,59,147.5
"81",3,28,93.33333333
"82",5,67,134
"83",5,60,120
"84",4,33,82.5
"85",8,139,173.75
"86",10,126,126
"87",2,19,95
"88",3,30,100
"89",3,23,76.66666667
"90",2,26,130
"91",2,19,95
"92",1,13,130
"93",1,10,100
"94",2,19,95
"95",10,126,126
"96",2,17,85
"97",1,9,90
"98",2,20,100
"99",2,19,95
"100",1,11,110
"101",1,6,60
"102",2,21,105
"103",3,30,100
"104",1,19,190
"105",1,7,70
"106",3,42,140
"107",3,23,76.66666667
"108",1,9,90
"109",2,29,145
"110",1,8,80
"111",2,26,130
"112",1,11,110
"113",2,19,95
"114",1,12,120
"115",1,8,80
"116",1,14,140
"117",1,15,150
"118",1,11,110
"119",1,8,80
"120",1,15,150
"121",1,13,130
"122",1,20,200
"123",1,12,120
"124",1,9,90
"125",1,17,170
"126",1,11,110
"127",1,8,80
"128",1,14,140
"129",1,12,120
"130",1,18,180
"131",1,8,80
"132",2,17,85
"133",1,15,150
"134",1,10,100
"135",1,10,100
"136",1,11,110
"137",1,16,160
"138",1,14,140
"139",1,14,140
"140",1,12,120
"141",1,14,140
"142",2,20,100
"143",1,6,60
"144",2,12,60
"145",1,17,170
"146",1,12,120
"147",2,23,115
"148",2,21,105
"149",1,7,70
"150",1,12,120
"151",2,19,95
"152",1,21,210
"153",1,12,120
"154",1,8,80
"155",1,11,110
"156",1,14,140
"157",1,8,80
"158",1,11,110
"159",2,13,65
"160",1,15,150
"161",1,18,180
"162",1,18,180
"163",1,18,180
"164",12,145,120.8333333
"165",8,118,147.5
"166",11,136,123.6363636
"167",10,122,122
"168",8,99,123.75
"169",11,104,94.54545455
"170",14,146,104.2857143
"171",7,85,121.4285714
"172",8,81,101.25
"173",4,34,85
"174",3,16,53.33333333
"175",3,38,126.6666667
"176",4,23,57.5
"177",5,71,142
"178",4,11,27.5
"179",3,25,83.33333333
"180",3,20,66.66666667
"181",4,17,42.5
"182",11,87,79.09090909
"183",5,49,98
"184",4,84,210
"185",5,39,78
"186",2,16,80
"187",7,83,118.5714286
"188",5,61,122
"189",8,115,143.75
"190",5,36,72
"191",4,34,85
"192",8,91,113.75
"193",8,77,96.25
"194",11,130,118.1818182
"195",7,50,71.42857143
"196",7,61,87.14285714
"197",2,10,50
"198",4,51,127.5
"199",3,53,176.6666667
"200",5,32,64
"201",1,8,80
"202",1,6,60
"203",4,60,150
"204",1,11,110
"205",2,24,120
"206",5,53,106
"207",3,53,176.6666667
"208",2,12,60
"209",5,73,146
"210",3,29,96.66666667
"211",3,22,73.33333333
"212",2,12,60
"213",1,14,140
"214",1,9,90
"215",2,14,70
"216",3,20,66.66666667
"217",2,31,155
"218",3,60,200
"219",3,48,160
"220",5,118,236
"221",5,117,234
"222",2,16,80
"223",1,8,80
"224",1,5,50
"225",1,7,70
"226",1,7,70
"227",1,6,60
"228",1,6,60
"229",1,5,50
"230",1,5,50
"231",2,20,100
"232",2,20,100
"233",4,78,195
"234",4,70,175
"235",1,5,50
"236",1,5,50
"237",1,5,50
"238",1,5,50
"239",1,5,50
"240",1,5,50
"241",1,5,50
"242",1,5,50
"243",1,5,50
"244",3,48,160
"245",3,31,103.3333333
"246",2,20,100
"247",4,53,132.5
"248",1,5,50
"249",1,5,50
"250",1,5,50
"251",1,5,50
"252",1,7,70
"253",1,7,70
"254",1,7,70
"255",1,7,70
"256",1,7,70
"257",3,22,73.33333333
"258",2,16,80
"259",2,16,80
"260",6,60,100
"261",1,7,70
"262",1,7,70
"263",1,7,70
"264",1,7,70
"265",1,7,70
"266",9,140,155.5555556
"267",2,19,95
"268",3,40,133.3333333
"269",4,98,245
"270",2,14,70
"271",3,22,73.33333333
"272",3,55,183.3333333
"273",4,54,135
"274",2,17,85
"275",2,11,55
"276",4,58,145
"277",5,117,234
"278",3,23,76.66666667
"279",17,124,72.94117647
"280",6,72,120
"281",1,12,120
"282",1,12,120
"283",8,98,122.5
"284",2,16,80
"285",5,62,124
"286",5,53,106
"287",2,18,90
"288",5,51,102
"289",7,88,125.7142857
"290",8,68,85
"291",13,90,69.23076923
"292",5,54,108
"293",9,87,96.66666667
"294",5,54,108
"295",9,87,96.66666667
"296",7,102,145.7142857
"297",4,57,142.5
"298",2,24,120
"299",10,100,100
"300",7,85,121.4285714
"301",7,65,92.85714286
"302",7,63,90
"303",1,13,130
"304",1,10,100
"305",1,14,140
"306",1,11,110
