Diameter_CHD_2023,Height_CHD_2023,HDR_CHD_2023
5,45,90
5,48,96
6,27,45
5,24,48
4,35,87.5
4,50,125
8,50,62.5
10,80,80
7,94,134.2857143
4,25,62.5
5,33,66
5,39,78
4,25,62.5
3,38,126.6666667
3,33,110
2,8,40
1,4,40
1,7,70
2,9,45
1,5,50
3,30,100
2,11,55
1,15,150
2,25,125
2,17,85
4,40,100
3,40,133.3333333
1,20,200
3,34,113.3333333
2,25,125
2,25,125
3,30,100
3,42,140
4,45,112.5
1,17,170
2,18,90
2,30,150
2,20,100
2,17,85
4,42,105
1,8,80
2,23,115
2,24,120
4,34,85
3,35,116.6666667
2,23,115
2,26,130
2,20,100
3,30,100
3,42,140
8,51,63.75
2,37,185
1,6,60
1,8,80
1,4,40
6,57,95
3,27,90
4,30,75
4,37,92.5
5,57,114
1,10,100
1,9,90
3,13,43.33333333
1,11,110
1,5,50
1,8,80
2,5,25
1,4,40
1,5,50
1,12,120
1,5,50
2,11,55
1,9,90
1,6,60
1,7,70
1,4,40
1,5,50
2,12,60
1,5,50
1,5,50
2,17,85
1,5,50
2,15,75
1,8,80
1,7,70
1,10,100
3,19,63.33333333
1,9,90
1,7,70
1,4,40
1,6,60
1,10,100
3,45,150
1,10,100
2,29,145
4,36,90
2,25,125
1,12,120
4,47,117.5
3,33,110
1,11,110
3,52,173.3333333
2,20,100
1,13,130
1,12,120
2,18,90
2,20,100
3,34,113.3333333
2,16,80
1,10,100
2,17,85
4,57,142.5
1,6,60
3,54,180
6,70,116.6666667
1,15,150
4,65,162.5
4,83,207.5
12,117,97.5
7,95,135.7142857
2,34,170
2,26,130
6,85,141.6666667
7,80,114.2857143
4,75,187.5
4,85,212.5
5,95,190
7,103,147.1428571
12,112,93.33333333
4,45,112.5
3,40,133.3333333
1,10,100
2,25,125
5,75,150
3,51,170
8,98,122.5
8,135,168.75
9,110,122.2222222
6,81,135
11,94,85.45454545
7,77,110
5,68,136
3,42,140
4,73,182.5
10,120,120
10,98,98
13,88,67.69230769
5,70,140
4,37,92.5
2,28,140
9,70,77.77777778
4,65,162.5
4,80,200
8,115,143.75
6,80,133.3333333
6,60,100
13,138,106.1538462
2,13,65
1,20,200
7,74,105.7142857
3,60,200
11,125,113.6363636
10,94,94
4,52,130
1,6,60
2,16,80
1,8,80
1,6,60
1,13,130
2,9,45
2,22,110
1,3,30
4,45,112.5
1,15,150
4,42,105
2,16,80
3,20,66.66666667
4,39,97.5
1,10,100
3,26,86.66666667
1,16,160
1,8,80
1,7,70
1,10,100
1,11,110
1,4,40
4,46,115
1,9,90
4,30,75
1,10,100
1,9,90
3,19,63.33333333
2,17,85
1,17,170
1,12,120
3,12,40
2,23,115
1,13,130
2,16,80
6,59,98.33333333
8,37,46.25
6,77,128.3333333
4,48,120
1,7,70
1,9,90
4,51,127.5
1,13,130
3,20,66.66666667
2,18,90
3,28,93.33333333
1,6,60
4,48,120
2,18,90
2,14,70
5,39,78
1,17,170
4,46,115
3,19,63.33333333
2,16,80
1,7,70
1,5,50
4,43,107.5
6,64,106.6666667
3,33,110
7,95,135.7142857
2,26,130
1,20,200
4,64,160
6,105,175
3,37,123.3333333
5,60,120
4,77,192.5
2,22,110
6,74,123.3333333
5,88,176
3,34,113.3333333
5,71,142
10,119,119
1,15,150
3,33,110
5,107,214
4,64,160
3,34,113.3333333
3,52,173.3333333
3,50,166.6666667
3,56,186.6666667
1,12,120
7,75,107.1428571
5,82,164
9,64,71.11111111
3,29,96.66666667
5,83,166
3,57,190
1,10,100
2,22,110
4,60,150
11,112,101.8181818
1,10,100
6,105,175
5,63,126
5,64,128
2,28,140
2,27,135
6,101,168.3333333
1,10,100
3,36,120
7,72,102.8571429
4,49,122.5
6,39,65
7,65,92.85714286
4,29,72.5
3,22,73.33333333
4,53,132.5
2,18,90
7,60,85.71428571
1,14,140
5,66,132
2,33,165
6,60,100
3,33,110
4,33,82.5
4,45,112.5
3,39,130
3,31,103.3333333
7,68,97.14285714
3,35,116.6666667
2,25,125
2,26,130
3,30,100
5,63,126
2,15,75
5,64,128
1,19,190
7,53,75.71428571
3,22,73.33333333
3,26,86.66666667
5,43,86
5,44,88
6,62,103.3333333
3,23,76.66666667
4,35,87.5
7,86,122.8571429
3,29,96.66666667
2,25,125
4,20,50
4,34,85
1,8,80
2,11,55
2,15,75
1,5,50
1,5,50
1,6,60
1,6,60
1,4,40
1,8,80
2,16,80
2,18,90
1,3,30
1,5,50
1,10,100
1,8,80
1,4,40
1,4,40
1,9,90
1,8,80
2,8,40
1,5,50
2,22,110
1,7,70
1,6,60
1,7,70
1,11,110
1,7,70
1,4,40
1,5,50
1,2,20
1,8,80
1,6,60
1,5,50
1,7,70
1,9,90
2,22,110
1,4,40
1,5,50
2,15,75
1,10,100
1,4,40
1,9,90
1,13,130
1,3,30
1,4,40
1,4,40
1,9,90
1,6,60
1,8,80
1,9,90
1,6,60
1,4,40
1,3,30
1,7,70
1,7,70
1,4,40
1,9,90
2,12,60
1,5,50
1,6,60
1,10,100
1,6,60
1,12,120
1,5,50
1,5,50
1,7,70
1,14,140
1,5,50
1,8,80
1,4,40
1,5,50
1,6,60
2,10,50
1,4,40
1,9,90
1,5,50
1,5,50
1,6,60
1,4,40
1,6,60
5,40,80
2,29,145
4,51,127.5
2,27,135
5,56,112
3,29,96.66666667
3,39,130
4,46,115
2,25,125
2,26,130
3,35,116.6666667
1,10,100
3,40,133.3333333
5,50,100
2,37,185
2,21,105
5,26,52
3,37,123.3333333
4,42,105
3,30,100
3,27,90
4,50,125
5,52,104
3,38,126.6666667
3,33,110
2,24,120
3,35,116.6666667
2,20,100
4,44,110
8,73,91.25
3,37,123.3333333
1,16,160
3,25,83.33333333
2,26,130
5,48,96
4,52,130
2,43,215
3,36,120
4,48,120
3,30,100
2,29,145
2,27,135
2,30,150
2,26,130
2,28,140
3,43,143.3333333
1,19,190
2,20,100
2,18,90
2,27,135
5,69,138
2,25,125
6,55,91.66666667
3,39,130
5,72,144
2,25,125
3,29,96.66666667
1,11,110
3,32,106.6666667
5,75,150
1,22,220
2,31,155
2,23,115
2,27,135
3,32,106.6666667
2,20,100
4,54,135
1,15,150
3,50,166.6666667
2,28,140
5,67,134
2,29,145
3,37,123.3333333
1,19,190
1,11,110
5,65,130
1,10,100
2,29,145
2,20,100
2,33,165
3,41,136.6666667
5,54,108
2,37,185
6,68,113.3333333
3,35,116.6666667
3,39,130
3,42,140
3,34,113.3333333
2,26,130
1,9,90
3,29,96.66666667
1,10,100
3,27,90
2,25,125
3,39,130
3,37,123.3333333
4,47,117.5
6,64,106.6666667
6,68,113.3333333
5,62,124
5,53,106
2,18,90
2,23,115
2,16,80
2,19,95
2,27,135
3,25,83.33333333
2,32,160
2,14,70
1,16,160
3,30,100
3,29,96.66666667
2,33,165
4,47,117.5
2,25,125
4,45,112.5
2,29,145
2,22,110
3,35,116.6666667
3,40,133.3333333
3,33,110
5,72,144
3,40,133.3333333
1,12,120
4,46,115
2,34,170
2,30,150
5,47,94
4,50,125
2,34,170
3,46,153.3333333
3,27,90
3,35,116.6666667
3,44,146.6666667
1,5,50
3,36,120
2,16,80
3,49,163.3333333
3,25,83.33333333
1,21,210
3,40,133.3333333
4,60,150
1,10,100
1,10,100
1,11,110
1,18,180
1,12,120
2,25,125
2,27,135
3,40,133.3333333
2,35,175
4,42,105
4,46,115
1,7,70
1,12,120
3,37,123.3333333
2,15,75
2,20,100
3,43,143.3333333
1,8,80
2,20,100
