"","Diameter","Height","HDR"
"1",4,42,105
"2",1,8,80
"3",2,14,70
"4",2,26,130
"5",4,36,90
"6",4,35,87.5
"7",1,10,100
"8",3,31,103.3333333
"9",3,24,80
"10",2,13,65
"11",3,35,116.6666667
"12",3,26,86.66666667
"13",3,43,143.3333333
"14",5,73,146
"15",2,48,240
"16",3,26,86.66666667
"17",4,49,122.5
"18",3,25,83.33333333
"19",3,44,146.6666667
"20",5,35,70
"21",5,42,84
"22",3,23,76.66666667
"23",2,19,95
"24",3,26,86.66666667
"25",3,14,46.66666667
"26",3,21,70
"27",4,22,55
"28",3,24,80
"29",2,10,50
"30",2,16,80
"31",2,18,90
"32",3,31,103.3333333
"33",4,39,97.5
"34",3,29,96.66666667
"35",1,9,90
"36",4,28,70
"37",1,8,80
"38",4,35,87.5
"39",5,36,72
"40",3,36,120
"41",2,25,125
"42",4,49,122.5
"43",5,53,106
"44",4,41,102.5
"45",3,19,63.33333333
"46",3,17,56.66666667
"47",2,13,65
"48",3,43,143.3333333
"49",5,53,106
"50",1,12,120
"51",3,25,83.33333333
"52",2,17,85
"53",1,11,110
"54",3,26,86.66666667
"55",2,15,75
"56",4,23,57.5
"57",4,55,137.5
"58",4,31,77.5
"59",2,14,70
"60",3,21,70
"61",2,13,65
"62",2,29,145
"63",3,27,90
"64",2,23,115
"65",2,14,70
"66",5,53,106
"67",5,59,118
"68",2,10,50
"69",2,23,115
"70",2,15,75
"71",3,30,100
"72",3,28,93.33333333
"73",2,23,115
"74",4,22,55
"75",3,35,116.6666667
"76",2,23,115
"77",3,31,103.3333333
"78",3,34,113.3333333
"79",3,17,56.66666667
"80",1,9,90
"81",5,35,70
"82",3,19,63.33333333
"83",4,32,80
"84",3,23,76.66666667
"85",4,37,92.5
"86",4,38,95
"87",3,48,160
"88",7,70,100
"89",4,42,105
"90",4,58,145
"91",5,41,82
"92",4,36,90
"93",4,27,67.5
"94",2,10,50
"95",9,94,104.4444444
"96",3,24,80
"97",4,34,85
"98",1,8,80
"99",3,20,66.66666667
"100",2,4,20
"101",2,9,45
"102",3,13,43.33333333
"103",3,27,90
"104",3,24,80
"105",3,27,90
"106",4,24,60
"107",2,16,80
"108",2,16,80
"109",7,61,87.14285714
"110",4,42,105
"111",3,14,46.66666667
"112",1,5,50
"113",3,21,70
"114",1,5,50
"115",1,6,60
"116",4,42,105
"117",4,36,90
"118",4,7,17.5
"119",1,9,90
"120",2,15,75
"121",1,10,100
"122",4,42,105
"123",3,36,120
"124",1,7,70
"125",2,9,45
"126",2,15,75
"127",1,10,100
"128",4,46,115
"129",3,28,93.33333333
"130",1,6,60
"131",2,11,55
"132",2,12,60
"133",1,7,70
"134",3,21,70
"135",2,9,45
"136",1,5,50
"137",2,14,70
"138",4,30,75
"139",1,6,60
"140",9,121,134.4444444
"141",7,91,130
"142",11,148,134.5454545
"143",7,98,140
"144",5,40,80
"145",3,33,110
"146",7,78,111.4285714
"147",7,79,112.8571429
"148",8,88,110
"149",3,20,66.66666667
"150",3,30,100
"151",2,13,65
"152",2,11,55
"153",2,20,100
"154",2,18,90
"155",3,22,73.33333333
"156",3,28,93.33333333
"157",4,42,105
"158",2,18,90
"159",1,4,40
"160",2,15,75
"161",2,14,70
"162",3,20,66.66666667
"163",2,21,105
"164",3,18,60
"165",1,7,70
"166",3,18,60
"167",3,18,60
"168",4,28,70
"169",3,16,53.33333333
"170",4,24,60
"171",4,41,102.5
"172",1,8,80
"173",4,22,55
"174",6,55,91.66666667
"175",2,14,70
"176",3,30,100
"177",3,21,70
"178",2,14,70
"179",5,46,92
"180",4,35,87.5
"181",4,38,95
"182",3,21,70
"183",2,16,80
"184",5,42,84
"185",3,11,36.66666667
"186",2,13,65
"187",4,28,70
"188",2,13,65
"189",4,49,122.5
"190",5,57,114
"191",3,25,83.33333333
"192",3,34,113.3333333
"193",3,32,106.6666667
"194",4,40,100
"195",3,33,110
"196",3,29,96.66666667
"197",2,14,70
"198",1,11,110
"199",3,29,96.66666667
"200",7,72,102.8571429
"201",1,10,100
"202",2,30,150
"203",2,16,80
"204",2,17,85
"205",2,33,165
"206",4,31,77.5
"207",5,42,84
"208",1,3,30
"209",3,30,100
"210",3,16,53.33333333
"211",2,19,95
"212",3,33,110
"213",2,12,60
"214",2,21,105
"215",2,29,145
"216",1,4,40
"217",3,19,63.33333333
"218",1,6,60
"219",3,30,100
"220",1,12,120
"221",3,26,86.66666667
"222",2,30,150
"223",2,15,75
"224",2,19,95
"225",1,5,50
"226",2,13,65
"227",3,31,103.3333333
"228",3,32,106.6666667
"229",3,24,80
"230",2,28,140
"231",3,36,120
"232",2,20,100
"233",3,35,116.6666667
"234",4,20,50
"235",2,13,65
"236",2,23,115
"237",5,49,98
"238",3,28,93.33333333
"239",3,42,140
"240",3,21,70
"241",1,10,100
"242",3,37,123.3333333
"243",2,18,90
"244",1,7,70
"245",5,57,114
"246",5,49,98
"247",3,24,80
"248",6,47,78.33333333
"249",5,37,74
"250",12,108,90
"251",7,57,81.42857143
"252",3,31,103.3333333
"253",3,24,80
"254",13,75,57.69230769
"255",4,51,127.5
"256",3,27,90
"257",3,39,130
"258",1,9,90
"259",4,25,62.5
"260",2,21,105
"261",1,18,180
"262",2,24,120
"263",2,16,80
